id,title,subTitle,authorsid1,authorsid2,authorsid3,publisher,publishedDate,description,volumeInfo__pageCount,categories,averageRating,ratingsCount,smallThumbnail,bigThumbnail,language,volumeInfo__previewLink,volumeInfo__infoLink,volumeInfo__canonicalVolumeLink,saleInfo__isEbook,accessInfo__webReaderLink,price
27,Why Are People Into That?,A Cultural Investigation of Kink,26,,,Hachette UK,2024,"From a #1 Apple podcast host, Lambda Literary fellow, and dominatrix comes a sex-positive, judgment-free cultural deep-dive into the world of kink. When celebrated BDSM educator Tina Horn first launched Why Are People Into That?!, publications from Vice to Buzzfeed heralded it as one of the best sex podcasts around. Each episode centered around a different fetish or fantasy, thoughtfully examining why, exactly, different strokes work for different folks. From sex workers and scientists to artists and activists, Tina’s wide range of guests helped educate fascinated listeners across the world on the wide spectrum of humanity’s appetites. With her listeners growing more and more insatiable, she soon realized that the only way to address the titular question with all the depth and nuance it deserved was to turn that idea into a book. From spanking, strap-ons, and sluts, to taboos involving cake, chains, and cannibalism, WHY ARE PEOPLE INTO THAT? explores the universal drives that shape even the most specific erotic tastes, and the cultural context that molds and is molded by the way we conceptualize pleasure, gender, fantasy, and power. With buoyant prose, Tina invites us to reconsider everything we thought we knew about sexuality. How, for example, should we think about ""consensual nonconsent"" in a post-#MeToo era? How does cross-dressing fit in with our evolving cultural understanding of gender performance and identity? And what do foot fetishists, fisters, and FinDoms have in common? Blending insightful cultural criticism, investigative journalism, and spicy anecdotes from Tina’s 15+ years of hard-earned expertise in the sex industry and beyond, WHY ARE PEOPLE INTO THAT? is a philosophical-but-fun exploration of the prismatic spectrum of human desire and the expansive possibilities of pleasure. For fans of adrienne maree brown and Emily Nagoski, this raunchy and rousing book is perfect for anyone who is interested not only in the intricacies of what we desire, but in how desire itself really works.",253,Social Science,0,0,http://books.google.com/books/content?id=Vz3dEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Vz3dEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=Vz3dEAAAQBAJ&printsec=frontcover&dq=subject:Psychology&hl=&cd=2&source=gbs_api,https://play.google.com/store/books/details?id=Vz3dEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=Vz3dEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=Vz3dEAAAQBAJ&hl=&source=gbs_api,25
28,Counselling Skills and Studies,,27,105,124,SAGE Publications Limited,2024,"Are you looking to use counselling skills to enhance your existing helping role? Are you taking the first steps towards becoming a professional counsellor? This practical guide will provide you with the ideal introduction, showing you what helping and counselling is all about. Part 1: Counselling Skills will introduce readers to the underpinning knowledge and practical tools needed to develop a range of helping skills for use in a variety of helping roles, showing what it means to work safely and ethically. Part 2: Counselling Studies will help them take their understanding further by considering in detail important theories and professional issues, preparing them to work as a professional counsellor. Part 3: Counselling Study Skills will offer practical advice and hints and tips to help them make the best start on their counselling portfolio, including journal and essay writing skills, research skills and how to get inspired and overcome blocks to learning. The Third Edition includes new content on counselling skills competencies; working with diverse client groups; online counselling; new case studies, tips and activities. Packed full of practical activities and written in a supportive conversational style, this book is essential reading for anyone wanting to learn counselling skills or embarking on their first stage of training to be a counsellor.",517,Psychology,0,0,http://books.google.com/books/content?id=mOXnEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=mOXnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=mOXnEAAAQBAJ&printsec=frontcover&dq=subject:Psychology&hl=&cd=3&source=gbs_api,https://play.google.com/store/books/details?id=mOXnEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=mOXnEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=mOXnEAAAQBAJ&hl=&source=gbs_api,33
29,The Random Factor,How Chance and Luck Profoundly Shape Our Lives and the World Around Us,28,,,Univ of California Press,2024,"""Luck, chance, and randomness are topics that virtually everyone can relate to and that each of us have been affected by. The Random Factor explores these subjects using a vast array of evidence, fresh insights, and compelling stories based upon the author's long standing research. The range of subjects and scholarship is far reaching and compelling. From history, to the natural world, to our everyday lives, chance is shown to play an important role in shaping various outcomes. Just as important, The Random Factor details the dynamics that determine the ways that luck and chance play themselves out, and it reveals the lessons to be learned in terms of guiding our personal lives and social policies. Mark Robert Rank leads his readers on a fascinating journey across the shifting sands of chance and luck. It is a journey that will change the way we fundamentally understand the world we live in and the manner in which our lives unfold""--",301,Business & Economics,0,0,http://books.google.com/books/content?id=x0brEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=x0brEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=x0brEAAAQBAJ&printsec=frontcover&dq=subject:Psychology&hl=&cd=4&source=gbs_api,http://books.google.com.lb/books?id=x0brEAAAQBAJ&dq=subject:Psychology&hl=&source=gbs_api,https://books.google.com/books/about/The_Random_Factor.html?hl=&id=x0brEAAAQBAJ,FALSE,http://play.google.com/books/reader?id=x0brEAAAQBAJ&hl=&source=gbs_api,20
30,The Power of Habit,Mastering the Art of Productivity,29,,,RWG Publishing,2024,"In ""The Power of Habit: Mastering the Art of Productivity,"" readers embark on a transformative journey to uncover the profound impact habits have on our lives. This comprehensive guide illuminates the path to changing old habits and forming new ones, providing a roadmap to unlock unparalleled levels of productivity and personal fulfillment. From the foundational principles of habit formation to the innovative concept of habit stacking, this book delves into the science and psychology behind our daily routines. It presents a clear, actionable strategy for integrating productive behaviors into your life, leveraging the power of small changes to create significant, lasting improvements. Featuring real-life examples, practical exercises, and an extensive toolkit of resources, ""The Power of Habit: Mastering the Art of Productivity"" is more than just a book—it's a mentor guiding you through the challenges and triumphs of habit change. Whether you seek to enhance your efficiency, achieve your goals, or transform your life, this book offers the insights and tools necessary to make habit mastery a reality. With a focus on adaptability, resilience, and continuous improvement, the journey outlined in these pages encourages experimentation and personal growth. As you turn the final page, you'll not only have gained a deeper understanding of how habits shape our lives but also be equipped with the strategies to shape them in return. Embark on this journey of self-discovery and mastery, and unlock the door to a more productive, fulfilling life. ""The Power of Habit: Mastering the Art of Productivity"" is your key to navigating the path from intention to achievement, one habit at a time.",62,Self-Help,0,0,http://books.google.com/books/content?id=ObUCEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ObUCEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=ObUCEQAAQBAJ&printsec=frontcover&dq=subject:Psychology&hl=&cd=5&source=gbs_api,http://books.google.com.lb/books?id=ObUCEQAAQBAJ&dq=subject:Psychology&hl=&source=gbs_api,https://books.google.com/books/about/The_Power_of_Habit.html?hl=&id=ObUCEQAAQBAJ,FALSE,http://play.google.com/books/reader?id=ObUCEQAAQBAJ&hl=&source=gbs_api,47
31,Enemy of the Sun,Poetry of Palestinian Resistance,30,106,,Seven Stories Press,2025,"A collection of Palestinian poetry originally published in 1970 that resonates with liberation and civil rights struggles around the world. This updated edition for the current generation of activists features new poems translated by Edmund Ghareeb, an internationally recognized Lebanese-American scholar, and a new foreword by Dr. Greg Thomas. In 1971, in the wake of George Jackson’s killing by San Quentin prison guards, a poem entitled “Enemy of the Sun” was found among ninety-nine books in the revolutionary’s cell. The handwritten poem came to be circulated in Black Panther newspapers under Jackson’s name, assumed to be a vestige of his more than a decade long incarceration. But Jackson never wrote the poem; it was authored by the Palestinian poet Sameeh Al-Qassem and had been included in an anthology of the same title a year before Jackson’s death. Originally published by Drum & Spear, the publishing arm of the Student Nonviolent Coordinating Committee, Enemy of the Sun: Poetry of Palestinian Resistance links twelve poets working in a poetics of refusal and of hope. Bearing witness to decades of Zionist occupation, to a diaspora exiled in refugee camps and writers held captive in Israeli jails, the collection offers a means to an end: “as poetry, yes it sings—as bullets on a mission; it calls for change.” In each poem is a whole life—joy, love, beauty, rage, sorrow, suffering—and in each life is a record of resistance: the traces of a people who refuse to leave their homeland, who time and again alchemize grief into principled struggle. In the intertwined histories of this book, and in the unyielding political edge of the poems themselves, is a long story of solidarity between oppressed peoples: from Palestine to South Africa to Algeria to Vietnam to the United States.",0,Poetry,0,0,http://books.google.com/books/content?id=6BEJEQAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=6BEJEQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com.lb/books?id=6BEJEQAAQBAJ&dq=subject:Poetry&hl=&cd=1&source=gbs_api,http://books.google.com.lb/books?id=6BEJEQAAQBAJ&dq=subject:Poetry&hl=&source=gbs_api,https://books.google.com/books/about/Enemy_of_the_Sun.html?hl=&id=6BEJEQAAQBAJ,FALSE,http://play.google.com/books/reader?id=6BEJEQAAQBAJ&hl=&source=gbs_api,22
32,The Time on the Gravel Roads,,31,,,AuthorHouse,2024,"Part road trip, part nature hike, part journey of self-discovery, this evocative memoir follows the adventures of Subhranil De as he navigates a six-year quest to find a job that combines his passion for physics with his love of teaching. Seeking escape from the drudgery and anxiety of academics, he sets out to explore less-traveled backroads and byways, from New York to North Dakota to Minnesota. Along the way, he finds solace in poetry, music, and introspection, as his professional life advances from researcher to lecturer to a veteran of the interview circuit—and at long last, a fulfilling position at a university nestled in the beautiful rolling landscape of southern Indiana. Subhranil’s narrative seamlessly weaves together luminous descriptions of pure nature, deep reflections on the mysteries and wonders he encounters, and heartwarming anecdotes as well as wry observations about family, friends, colleagues, and the world of academia. The result is a holistic tapestry that is a celebration of a precious romanticism for life and the world.",270,Poetry,0,0,http://books.google.com/books/content?id=MwoNEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=MwoNEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=MwoNEQAAQBAJ&printsec=frontcover&dq=subject:Poetry&hl=&cd=2&source=gbs_api,https://play.google.com/store/books/details?id=MwoNEQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=MwoNEQAAQBAJ,TRUE,http://play.google.com/books/reader?id=MwoNEQAAQBAJ&hl=&source=gbs_api,22
33,Fast by the Horns,The hotly anticipated second novel from the prizewinning author of An Olive Grove in Ends,32,,,Hachette UK,2024,"From the Hawthornden Prize-winning author of An Olive Grove in Ends, a powerful story of broken dreams and divided loyalties Bristol, 1980. In the tight-knit neighbourhood of St. Pauls, 14-year-old Jabari is proud of his position as the only son of revered community leader Ras Levi. Raised in a world of sus laws and council neglect, Jabari finds hope in his Rastafari faith, which offers the comforting vision that one day he and his fellow believers will repatriate to the motherland, where they will at last be free from oppression and prejudice. But in St Pauls a local firebrand activist has been arrested, and violence soon overflows, pulling both father and son into its maelstrom. As Jabari rages against the iniquity, a chance encounter with a young Black child gifts him an opportunity for justice - or is it revenge? Praise for An Olive Grove in Ends: 'Tough yet tender' Observer - 10 Best Debut Novelists of 2022 ''Luminous' Cherie Jones 'Moses' talent is off the scale' Donal Ryan 'Remarkable' Nathan Harris 'Consummately crafted' Patrick McCabe",210,Fiction,0,0,http://books.google.com/books/content?id=afrbEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=afrbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=afrbEAAAQBAJ&printsec=frontcover&dq=subject:Poetry&hl=&cd=3&source=gbs_api,https://play.google.com/store/books/details?id=afrbEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=afrbEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=afrbEAAAQBAJ&hl=&source=gbs_api,37
34,The Misunderstanding of a Black Woman,,33,,,Writers Republic LLC,2024,"The Misunderstanding of a Black Woman is a powerful collection of poetry that delves into the soul of a Black woman, capturing her strength, resilience, and deep-rooted ties to a tumultuous history. These poems challenge the typical stereotypes and misconceptions that often plague Black women, painting them as angry or aggressive. Instead, the book reveals the multifaceted nature of Black womanhood—showing that beneath the surface lies a complex tapestry of emotions, dreams, and undying love. It’s a testament to their unappreciated grace and the resilience with which they confront societal misunderstandings, all while celebrating the indomitable spirit and beauty of a Black woman’s essence.",135,Poetry,0,0,http://books.google.com/books/content?id=IP4HEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=IP4HEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=IP4HEQAAQBAJ&printsec=frontcover&dq=subject:Poetry&hl=&cd=4&source=gbs_api,http://books.google.com.lb/books?id=IP4HEQAAQBAJ&dq=subject:Poetry&hl=&source=gbs_api,https://books.google.com/books/about/The_Misunderstanding_of_a_Black_Woman.html?hl=&id=IP4HEQAAQBAJ,FALSE,http://play.google.com/books/reader?id=IP4HEQAAQBAJ&hl=&source=gbs_api,35
35,New and Selected Poems,,34,,,W. W. Norton & Company,2024,"An indispensable collection of more than four decades of profound, luminous poetry from acclaimed poet Marie Howe. Characterized by “a radical simplicity and seriousness of purpose, along with a fearless interest in autobiography and its tragedies and redemptions” (Matthew Zapruder, New York Times Magazine), Marie Howe’s poetry transforms penetrating observations of everyday life into sacred, humane miracles. This essential volume draws from each of Howe’s four previous collections—including What the Living Do (1997), a haunting archive of personal loss, and the National Book Award–longlisted Magdalene (2017), a spiritual and sensual exploration of contemporary womanhood—and contains twenty new poems. Whether speaking in the voice of the goddess Persephone or thinking about aging while walking the dog, Howe is “a light-bearer, an extraordinary poet of our human sorrow and ordinary joy” (Dorianne Laux).",186,Poetry,0,0,http://books.google.com/books/content?id=4wjHEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=4wjHEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=4wjHEAAAQBAJ&printsec=frontcover&dq=subject:Poetry&hl=&cd=5&source=gbs_api,https://play.google.com/store/books/details?id=4wjHEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=4wjHEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=4wjHEAAAQBAJ&hl=&source=gbs_api,38
36,Taste in Music,Eating on Tour with Indie Musicians,35,107,,Chronicle Books,2024,"In this unique and deeply thoughtful collection, musician Alex Bleeker (Real Estate) and food and travel journalist Luke Pyenson (formerly of Frankie Cosmos) take readers on tour with a diverse lineup of inspiring indie musicians from around the world, sharing meals and travel experiences, peeking behind the curtain at this singular and singularly misunderstood way of life. Through original essays and engaging conversations with dozens of indie musicians representing several subgenres, scenes, and eras, food takes center stage in stories about being on tour and eating on tour and how this basic human necessity can create a sense of community and interconnectedness in one of the most mobile industries in the world. Based broadly on the subject of eating on tour, these entries each spin off into their own focused and exciting behind-the-scenes story, but all confirm what Pyenson and Bleeker suspected all along—food looms large in the lives of touring musicians, and it can be used as a gateway into understanding what going on tour is really like. Featured contributors include: Robin Pecknold (Fleet Foxes) Chris Frantz (Talking Heads) Natalie Mering (Weyes Blood) Mark Ibold (Pavement) John Gourley (Portugal. The Man) Lily Chait (touring chef to boygenius and Phoebe Bridgers) Amelia Meath (Sylvan Esso) Greta Kline (Frankie Cosmos) Devendra Banhart Bob Mould (Hüsker Dü) Brian ""Geologist"" Weitz (Animal Collective) Dawn Richard Sasami Ashworth (SASAMI) Sadie Dupuis (Speedy Ortiz) The Beths In addition to wide-angle meditations about eating on tour, Pyenson and Bleeker have gathered stories that take place on five continents, in private homes and street-side stalls, in temples of fine dining and in actual temples, backstage and in the van, early morning and late at night. Stories that deal with the best parts of touring: meaningful cultural exchange, hospitality-induced euphoria, and the opportunity to build relationships around the world. And the worst: loneliness, exhaustion, estrangement from family and friends, struggles with disordered eating, and unsteady access to medical care. So the question isn’t, “How was tour?” It’s, “What do you eat on tour?” Like the best songs or meals, these conversations and essays evoke something central about the human experience. They show us all the ways that music and food bring us together, break us down, lift us up, and add color to our lives. NOTABLE AUTHORS: With over twenty years of experience in the music industry, Alex Bleeker and Luke Pyenson are your perfect guides into the world of touring. Having toured with their own bands—Real Estate and Frankie Cosmos, respectively—they're asking all the right questions, shedding light and understanding on the lives of touring musicians and the people feeding them. FOOD ANTHOLOGY & MUSIC SCENE DEEP CUT: With interviews and essays from about forty different musicians, chefs, and promoters—ranging from Chris Frantz from Talking Heads to boygenius’s private chef Lily Chait—not only is this book a treasure trove of knowledge and insider information, it also offers something for foodies and music enthusiasts alike. ARMCHAIR TRAVEL: Go behind the curtain all around the world, from America to Russia, Japan to Italy, and dozens of places in between. Read about your favorite musicians’ experiences abroad, all from the comfort of your home. Perfect for: Musicians and fans of indie music Foodies, chefs, restaurant owners, and home cooks Anyone interested in the music business Travel enthusiasts Readers who enjoyed Crying in H Mart by Michelle Zauner, Our Band Could Be Your Life by Michael Azerrad, and Mixtape Potluck Cookbook by Questlove",243,Music,0,0,http://books.google.com/books/content?id=3QfwEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=3QfwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=3QfwEAAAQBAJ&printsec=frontcover&dq=subject:Cooking&hl=&cd=1&source=gbs_api,http://books.google.com.lb/books?id=3QfwEAAAQBAJ&dq=subject:Cooking&hl=&source=gbs_api,https://books.google.com/books/about/Taste_in_Music.html?hl=&id=3QfwEAAAQBAJ,FALSE,http://play.google.com/books/reader?id=3QfwEAAAQBAJ&hl=&source=gbs_api,23
37,Genius Gut,"10 New Gut-Brain Hacks to Revolutionise Your Energy, Mood, and Brainpower",36,,,Random House,2024,"A 10-STEP GUT-BRAIN PLAN TO FEEL YOUR ABSOLUTE BEST ‘Practical and delicious. Your gut will thank you for it’ Melissa Hemsley ‘Dr Emily Leeming has written a brilliant book written in a very easy to digest way (forgive the pun) with very simple and affordable hacks’ Davina McCall 'Dr Leeming's book cuts through all the noise and explains everything about your gut in easily digestible (sorry had to do it) sections' Cosmopolitan, best new books out in July 'You need to read this' Women’s Health ---- Tired and down? Bloated? Can’t focus? This is your gut talking to your brain – and it is time you started listening. Unlock the secrets of your second brain and the way your gut bacteria not only impact your digestion, but can uplift your mood and sharpen your thinking. Leading microbiome scientist Dr Emily Leeming expertly guides you through the latest science behind your gut-brain connection, giving you 10 simple yet powerful gut-brain hacks on how to: Feel happy and energised Beat cravings Eat smart Boost brain performance without giving up the foods you love! No calorie counting. More flavour. Trillions of good bacteria. Dr Emily Leeming is a registered dietitian and Research Fellow at King’s College London. Before her career in science, she was a private chef. Through years of experience and research, she has developed a specialised approach to nutrition, bringing clinical gut-health expertise from the lab to the plate. *A HAPPY GUT WARNING* Please be advised that if implemented, the advice contained in this book may lead to outbursts of energy, long-lasting states of good mood, and a happy gut microbiome. Proceed with extra care. ---- PRAISE FOR GENIUS GUT 'The book offers myriad easy ways you can nurture your gut microbiome and wider health' VOGUE ‘The gut is the gateway to the brain – and this is the go-to guide’ Dr Tara Swart, neuroscientist and author of The Source ‘Apart from being an exceptional academic, Emily’s talent and passion for disseminating the science into digestible nuggets is second to none. I devoured this book’ Alana Macfarlane, author of The Gut Stuff 'Health’s holy grail: a scientist who speaks plain English. ... Dr Emily takes the information and explains it how you would explain it to a non-sciencey friend' Rosamund Dean ‘Dr Emily Leeming masterfully distils emerging and complex science into easy and actionable reading, dispelling common myths along the way. Everyone should own a copy!’ Angela Foster, High Performance Health Podcast ‘The Genius Gut demystifies the science of gut-brain signalling and offers a wealth of practical solutions for individuals hoping to increase their overall wellbeing’ Prof. John Cryan, Neuroscientist & Co-Author of The Psychobiotic Revolution ‘An essential and refreshing read about an important topic’ Joshua Fletcher, the Anxiety Therapist (@anxietyjosh) and author of And How Does That Make You Feel? ‘This truly is a gut health bible’ Kaitlin Colucci, gut health dietitian ‘This book stands out as a beacon of clarity. A definitive guide that tells you exactly how to use food to boost your mood, health and brainpower!’ Dr Sophie Mort, Clinical Psychologist and Sunday Times bestselling author of A Manual For Being Human",247,Health & Fitness,0,0,http://books.google.com/books/content?id=wgfZEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=wgfZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=wgfZEAAAQBAJ&printsec=frontcover&dq=subject:Cooking&hl=&cd=2&source=gbs_api,https://play.google.com/store/books/details?id=wgfZEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=wgfZEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=wgfZEAAAQBAJ&hl=&source=gbs_api,24
38,"The Salad Lab: Whisk, Toss, Enjoy!",Recipes for Making Fabulous Salads Every Day (A Cookbook),37,,,Simon and Schuster,2024,"Make creative, unique, and delicious salads with favorite and all-new recipes from TikTok’s beloved salad recipe creator, The Salad Lab. It all began when Darlene Schrijver was compiling her favorite salad recipes for her daughter who was off to college when a friend asked, “Why don’t you film the directions for making recipes instead and post them on TikTok? She’s always on there anyway.” Darlene started out making videos of classic and retro salads and thought it would be fun to measure the ingredients with test tubes and beakers since her daughter was a science major. She called her TikTok account The Salad Lab to encourage the spirit of experimentation. Soon, The Salad Lab’s following began to grow rapidly when Darlene would attempt to recreate a celebrity’s favorite salad or a recipe inspired by a dish from a restaurant. From Bella Hadid to Kylie Jenner’s favorite salads to completely unique creations featured for the first time in The Salad Lab, Darlene’s careful instructions and smart salad-making tips are sure to inspire anyone to crave a healthy salad. All beautifully photographed, there are also drink serving recommendations for every dish, plus a section of staple recipes that can be turned to again and again for dressing and basics like Honey-Roasted Sliced Almonds, Cheesy Tortilla Croutons, Cilantro Lime Dressing, and her viral Green Goddess Dressing. Salads have never been more fun to make—or more delicious.",408,Cooking,0,0,http://books.google.com/books/content?id=QRrdEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=QRrdEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=QRrdEAAAQBAJ&printsec=frontcover&dq=subject:Cooking&hl=&cd=3&source=gbs_api,https://play.google.com/store/books/details?id=QRrdEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=QRrdEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=QRrdEAAAQBAJ&hl=&source=gbs_api,21
39,Chinese Espresso,Contested Race and Convivial Space in Contemporary Italy,38,,,Princeton University Press,2024,"Why and how local coffee bars in Italy—those distinctively Italian social and cultural spaces—have been increasingly managed by Chinese baristas since the Great Recession of 2008 Italians regard espresso as a quintessentially Italian cultural product—so much so that Italy has applied to add Italian espresso to UNESCO’s official list of intangible heritages of humanity. The coffee bar is a cornerstone of Italian urban life, with city residents sipping espresso at more than 100,000 of these local businesses throughout the country. And yet, despite its nationalist bona fides, espresso in Italy is increasingly prepared by Chinese baristas in Chinese-managed coffee bars. In this book, Grazia Ting Deng explores the paradox of “Chinese espresso”—the fact that this most distinctive Italian social and cultural tradition is being preserved by Chinese immigrants and their racially diverse clientele. Deng investigates the conditions, mechanisms, and implications of the rapid spread of Chinese-owned coffee bars in Italy since the Great Recession of 2008. Drawing on her extensive ethnographic research in Bologna, Deng describes an immigrant group that relies on reciprocal and flexible family labor to make coffee, deploying local knowledge gleaned from longtime residents who have come, sometimes resentfully, to regard this arrangement as a new normal. The existence of Chinese espresso represents new features of postmodern and postcolonial urban life in a pluralistic society where immigrants assume traditional roles even as they are regarded as racial others. The story of Chinese baristas and their patrons, Deng argues, transcends the dominant Eurocentric narrative of immigrant-host relations, complicating our understanding of cultural dynamics and racial formation within the shifting demographic realities of the Global North.",288,Social Science,0,0,http://books.google.com/books/content?id=Nq_jEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Nq_jEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=Nq_jEAAAQBAJ&printsec=frontcover&dq=subject:Cooking&hl=&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=Nq_jEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=Nq_jEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=Nq_jEAAAQBAJ&hl=&source=gbs_api,44
40,How to Eat 30 Plants a Week,100 recipes to boost your health and energy - THE NO.1 SUNDAY TIMES BESTSELLER,39,,,Bloomsbury Publishing,2024,"'I love the way Hugh inspires us to eat more of the good stuff, and he's done it again brilliantly here.' JAMIE OLIVER 'Hugh's delicious recipes are very good medicine for a longer, healthier life.' CHRIS VAN TULLEKEN With an introduction by Tim Spector, bestselling author and founder of ZOE 30 plants may sound a lot, but in Hugh's expert hands it has never been simpler to achieve your health goals and approach everyday cooking with delicious, nutritious meals full of easy wins to increase your plant intake, whatever your dietary requirements. Pioneering gut-health guru Tim Spector's introduction explains why racking up the plant power by eating a variety of 30 plants a week will give your body more of the nutrients you need to feel great, have renewed energy and reset your microbiome. Much more than just fruit and veg, plants also include nuts, seeds, pulses, grains, herbs, spices, chocolate and even coffee. In chapters such as Six-packed Soup and Stoups, Seven in the Oven, Fish Fivers, Meat and Many Veg Mains and Triple Treat Sides, Hugh shows you how to get many more of these health-boosting ingredients on your plate, no matter how many you're cooking for. Packed with people-pleasing plant-only dishes alongside a few well-chosen meat and fish options, and helpful tips, tricks and easy swaps, with Hugh to show you the way, you'll soon be getting in your 30 plants, and more, week after week. Recipes include: · Shroomami stoup · Sichuan aubergine with tofu and black beans · Caponata with chickpeas and apricots · Tomato and saffron baked rice · Steak, charred lettuce and spring onion salsa · Roast ratatouille mackerel fillets · Very berry ripple fro-yo ... and many more! 'Beautifully diverse, plant-rich recipes' – Poppy Okotcha 'Inspiring' – Sarah Langford 'Delicious, super-simple recipes' – Henry Dimbleby 'Full of great ideas' – Rosie Boycott",538,Cooking,0,0,http://books.google.com/books/content?id=z__IEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=z__IEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=z__IEAAAQBAJ&printsec=frontcover&dq=subject:Cooking&hl=&cd=5&source=gbs_api,https://play.google.com/store/books/details?id=z__IEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=z__IEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=z__IEAAAQBAJ&hl=&source=gbs_api,29
